Wall time,Step,Value
1751439885.293598,14350,1.5006293324404396e-05
1751439921.9929597,14375,1.4924325114407111e-05
1751439958.6440458,14400,1.4842486052657478e-05
1751439995.2740526,14425,1.4760777048650198e-05
1751440031.8684914,14450,1.4679199921374675e-05
1751440068.6445403,14475,1.4597753761336207e-05
1751440105.4355037,14500,1.4516442206513602e-05
1751440385.723756,14525,1.4435264347412158e-05
1751440422.2760344,14550,1.4354222003021277e-05
1751440458.8149996,14575,1.4273316082835663e-05
1751440495.4530854,14600,1.4192547496350016e-05
1751440532.0833886,14625,1.4111918062553741e-05
1751440568.7965245,14650,1.4031427781446837e-05
1751440605.3235016,14675,1.3951077562524006e-05
1751440642.1813421,14700,1.3870869224774651e-05
1751440679.0297353,14725,1.3790803677693475e-05
1751440715.7593827,14750,1.3710881830775179e-05
1751440752.3524876,14775,1.3631104593514465e-05
1751440788.961644,14800,1.3551472875406034e-05
1751440825.5355911,14825,1.347198758594459e-05
1751440862.3626647,14850,1.3392650544119533e-05
1751440898.9842885,14875,1.3313461749930866e-05
1751440935.5641005,14900,1.3234423022367992e-05
1751440972.1000533,14925,1.3155535270925611e-05
1751441008.5916243,14950,1.3076799405098427e-05
1751441044.0455399,14975,1.2998215424886439e-05
1751441080.657838,15000,1.2919786058773752e-05
1751441361.9784465,15025,1.2841511306760367e-05
1751441398.614127,15050,1.2763392078340985e-05
